items,k_user_id,redeemed_at,saleAmount,user_id
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:59:03.683,20,24996
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",8215,2019-02-07 09:59:28.277,20,25613
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 10:00:37.696,20,19995
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",8215,2019-02-07 10:01:14.018,20,25571
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",8215,2019-02-07 10:01:14.023,20,25571
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",8215,2019-02-07 10:02:58.523,20,9662
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 10:03:33.660,20,26608
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/j.jpg', 'key': '-LPQb61tpBZq6xPMOc1q', 'name': 'गुड़', 'status': True}]",5979,2019-02-07 10:06:08.630,20,26851
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 10:07:18.907,20,26207
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 10:07:18.917,20,26207
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 10:08:50.524,20,6481
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/j.jpg', 'key': '-LPQb61tpBZq6xPMOc1q', 'name': 'गुड़', 'status': True}]",4052,2019-02-07 10:10:12.173,20,19201
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 10:11:30.303,20,26589
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 10:12:54.585,20,26709
